clusterID,estimated_snowballing_pvalue,max_norm_cell_type_specificity,max_norm_disease_specificity,max_plof,mean_plof,median_plof,num_cell_type_string,num_disease_string,num_of_diseases,num_sig_go_enrichment_terms,std_plof,sum_plof,avg_embeddedness,avg_internal_degree,cluster_size,conductance,cut_ratio,edges_inside,expansion,gene_ratio,hub_dominance,internal_edge_density,newman_girvan_modularity,normalized_cut,significance,surprise,triangle_participation_ratio
paris.cesna.2021:4343,0.1917642503976822,0.1428571428571428,0.2857142857142857,17,8.428571428571429,8,11,1,7,36,5.31843156256751,59,0.0067453764088487,5.25,8,0.9937934091916656,0.0235528564624134,21,840.625,0.875,1,0.75,-2.990806215486089e-7,0.9943366041781494,298.0953120540649,70.5579875614118,1
paris.cesna.2021:4406,0.01346570998430252,0.1538461538461538,0.5384615384615384,36,11.923076923076923,9,2,2,10,77,9.508430806934255,155,0.0124873182773047,10.941176470588236,17,0.9948982390696144,0.0597961733878013,93,2133.6470588235293,0.7647058823529411,0.9375,0.6838235294117647,-8.681236800603755e-6,0.9978210771750686,1305.0082371435956,303.9974099021661,1
paris.cesna.2021:4407,0.007861618883907795,0.217391304347826,0.6086956521739131,67,11.91304347826087,6,1,1,20,445,15.888569486149644,274,0.0257906955979798,18.1875,32,0.9869635337335364,0.0386053635012756,291,1376.9375,0.71875,0.9032258064516128,0.5866935483870968,-1.3017336167737062e-5,0.9905119844774612,4012.62785201714,907.3258490312425,1
paris.cesna.2021:4416,0.11767391115427017,0.1428571428571428,0.4285714285714285,85,17.428571428571427,9,3,2,10,0,30.237157840738178,122,0.0454453681100921,3.4,10,0.9950328707085464,0.0190843116926784,17,681.1,0.7,0.5555555555555556,0.3777777777777777,-3.060150786315586e-7,0.9955830079520784,224.2280642069938,45.67717281410965,0.5
paris.cesna.2021:4417,0.03069308213889599,0.1111111111111111,0.7333333333333333,190,36.53333333333333,22,1,1,24,28,42.63353353662094,1644,0.054950369360065,28.07843137254902,51,0.9696924802641326,0.0252012048086739,716,898.3725490196078,0.8823529411764706,0.94,0.5615686274509804,-1.3934264756812308e-5,0.9733819977488152,9826.40155777986,2201.673647461228,0.9803921568627452
paris.cesna.2021:4447,0.23725327849388123,0.25,0.0625,43,18.25,18.5,1,3,4,11,14.139778404675702,292,0.0461672018919155,5.5,20,0.9900344265265446,0.0153143305585918,55,546.4,0.8,0.9473684210526316,0.2894736842105263,-7.957500984371805e-7,0.9909168135708292,707.6446121705148,133.56717059351365,1
paris.cesna.2021:4458,0.2845306098461151,0.2857142857142857,0.1428571428571428,230,27.5,7,1,1,5,0,59.2981385101525,385,0.0227391764098164,5.466666666666667,15,0.9941062315819736,0.0258397787990882,41,922.0666666666668,0.9333333333333332,1,0.3904761904761905,-1.264263185678694e-6,0.9952227586282693,542.495748728579,111.48389508233215,1
paris.cesna.2021:4490,0.05149386078119278,0.3333333333333333,0.3333333333333333,35,24.666666666666668,26,1,10,11,0,11.06044001535804,74,0.1514532857936982,3,6,0.9961315280464216,0.021642899167904,9,772.5,0.5,1,0.6,-1.414041080257332e-7,0.9965059710170608,124.40798143753688,28.25996587107686,1
paris.cesna.2021:4492,0.1866384595632553,0.2,0.4,66,35.4,30,3,1,3,1,18.915602025841,177,0.0177163351412477,3,6,0.9921190893169878,0.0105809729265308,9,377.6666666666667,0.8333333333333334,1,0.6,-3.4071254199266595e-8,0.992302185366137,124.40798143753688,28.25996587107686,1
paris.cesna.2021:4494,0.1671755462884903,0.1333333333333333,0.1333333333333333,120,28.666666666666668,24,1,1,9,0,29.61820546957724,430,0.0458044064227095,3.4444444444444446,18,0.9947842180533356,0.0184116040594278,31,656.9444444444445,0.8333333333333334,1,0.2026143790849673,-7.612375999115776e-7,0.9957389609780044,386.17585155014586,64.66946099512084,0.8333333333333334
